id;name
409;GameSalad
412;Decima
413;buildbox
415;Internal Piranha Byte's Engine
416;Evolution Engine
417;NVLMaker
418;Mercury Steam Engine
419;Buildbox
420;stencyl
421;Amazon Lumberyard
422;Intelligent Stupidity
423;wpf
424;Homemade
425;lucha
426;pyglet
427;Asura engine
428;Sigma Engine
429;AngularJs
431;kp
432;Phoesion GE
433;In House Engine
434;Novelty
435;Lair Engine
436;DreamWorld
437;BANG!
438;Real Virtuality 3
439;Unreal Engine 4
441;ChoiceScript
442;Shark 3D
443;fps creator classic
444;Leadwerks
445;RV4
446;Icarus Platform
447;PINA
449;Turbine
450;Dulst
451;Presto Studios
452;Saber 3D engine
453;Rataj's Browser Game Engine
454;ArenaNet Guild Wars
455;Orx
457;Spellwrath (Custom Engine)
458;K2 Engine
459;buidlbox
460;Stratagus
461;Atari System 2
463;super fx
464;Visual Studio
465;Nvidia PhysX
466;GH Engine
467;BTZ
469;React Native
470;GameGuru
471;Sega Model 2
472;ENIN Engine
473;Sketcher Engine
474;Brigitte
475;Aspyr
476;OpenFL
477;D3D
478;a000ff
479;Black Desert Engine
480;XIGNCODE3
481;Real Virtuality 4
482;CryEngine 3
483;Intersect
484;AZ (Arika Engine)
485;The Illusion Engine
486;FLEDGE Engine
487;Turbine G3
488;PC
490;Bedrock Engine
491;Frostbite 3
492;StoryForge
493;PixiJS
494;Falling Everything Engine
497;Hedgehog Engine
498;DS2
499;NightShade Engine
500;Eclipse
501;Silverback Engine
502;Autodesk Beast
503;Simplygon
504;Disruptor Engine
505;Spenefett
506;42
508;Alternativa Engine
509;Unity 2017
510;Super Mario Bros. X
511;Genesis3D
512;Taito FX-1
513;Firebird Engine
514;Orion Engine
515;Ronin
516;Krome Studios Engine
518;Pinball 2000
519;Offset Engine
520;love2d
521;Blukpast (homebrew)
522;IRISZOOM
523;Orochi 3
524;createjs
525;SolidEngine
526;zandronum
528;Glacier 2
529;Unity 5
530;BackboneJS
531;KUBOTA/CATERPILLER
532;GameMaker Studio 2
533;SCGI
534;SCI0
535;SCI1
537;Veronica Engine
538;SuperScroller
539;C4 Engine
540;War3
541;DarkBASIC Pro
542;Bright Light Halogen
543;A.L.I.V.E.
544;NoviceX
545;Duplicate 669
546;AGS
547;TW Engine 1
548;TW Engine 2
549;Spartan: Total Warrior Engine
550;Flash CS6
552;Invictus SCX
553;"Custom Engine ""VantEdit"""
554;Wolfenstein 3D Engine
555;Distortion Tools
557;Source 2
559;GameSparks
560;4EVOLVE: Traxor Engine
561;Doom Legacy
562;AtomicEngine
563;Ripp3d
564;DarkEngine
566;web gl
567;Insomniac Engine v.4.0
568;DoomRPG
569;Wolfenstein RPG
570;Visual Novel Maker
571;broww
572;GlyphX
574;Apex
576;Slipspace Engine
578;Liquid Engine
580;AEGIS
581;Granny 3D
583;OWI Core
584;PTK Toolkit
585;VERGE
586;Spiller
587;EGO Engine 4.0
589;Macromedia Director
591;SceneKit
592;SRPG Studio
593;Allegro
594;flash
595;FNA
596;FAudio
597;Mario Builder
598;Sega System 16
599;Geo-Mod 2.0
600;WangReal Engine
601;Unity 2018
602;StageMechanic
604;12
605;Panda3D
606;OpenMW
608;Symbian
609;Pie in the Sky
610;Heaps.io
612;Quicksilver X
613;Hiber
614;Tyranobuilder Visual Novel Studio
615;Sensible Soccer
617;Yuna Engine
681;KT Engine
686;LSSDK
695;KEX
741;Spark Casual Engine
