mode;game_id
Multiplayer;351
Single player;352
Multiplayer;352
Multiplayer;353
Multiplayer;354
Single player;355
Multiplayer;355
Single player;356
Multiplayer;356
Single player;357
Multiplayer;357
Single player;359
Single player;360
Single player;361
Multiplayer;361
Single player;362
Multiplayer;362
Single player;363
Multiplayer;363
Single player;364
Multiplayer;364
Single player;367
Massively Multiplayer Online (MMO);367
Single player;370
Multiplayer;370
Single player;373
Multiplayer;373
Single player;375
Single player;376
Single player;378
Single player;379
Single player;380
Single player;381
Multiplayer;381
Single player;382
Co-operative;382
Single player;383
Multiplayer;383
Single player;384
Single player;386
Multiplayer;386
Co-operative;386
Massively Multiplayer Online (MMO);386
Single player;388
Single player;389
Single player;390
Single player;391
Multiplayer;391
Single player;392
Single player;393
Multiplayer;393
Single player;394
Multiplayer;394
Single player;395
Single player;397
Single player;398
Single player;399
Single player;400
Single player;401
Multiplayer;401
Massively Multiplayer Online (MMO);402
Massively Multiplayer Online (MMO);405
Single player;406
Single player;408
Massively Multiplayer Online (MMO);409
Massively Multiplayer Online (MMO);411
Single player;412
Multiplayer;412
Single player;413
Single player;414
Multiplayer;414
Massively Multiplayer Online (MMO);416
Single player;417
Single player;418
Single player;420
Multiplayer;420
Single player;421
Single player;422
Multiplayer;422
Split screen;422
Single player;423
Multiplayer;423
Single player;424
Single player;425
Single player;427
Single player;428
Single player;429
Multiplayer;429
Single player;430
Multiplayer;430
Single player;431
Single player;432
Multiplayer;432
Co-operative;432
Single player;433
Multiplayer;433
Single player;434
Multiplayer;434
Single player;436
Multiplayer;436
Single player;437
Multiplayer;437
Single player;438
Multiplayer;438
Single player;439
Single player;440
Multiplayer;440
Single player;441
Multiplayer;441
Single player;442
Multiplayer;442
Single player;450
Multiplayer;450
Co-operative;450
Single player;451
Multiplayer;451
Single player;455
Multiplayer;455
Single player;457
Multiplayer;457
Single player;461
Single player;462
Single player;463
Single player;466
Multiplayer;466
Co-operative;466
Single player;471
Multiplayer;471
Single player;472
Single player;473
Multiplayer;473
Single player;474
Single player;475
Multiplayer;475
Single player;476
Multiplayer;476
Single player;477
Multiplayer;477
Co-operative;477
Single player;478
Single player;479
Single player;480
Single player;481
Single player;482
Single player;483
Single player;484
Single player;485
Single player;486
Single player;487
Single player;488
Multiplayer;488
Co-operative;488
Multiplayer;489
Co-operative;489
Massively Multiplayer Online (MMO);489
Single player;490
Multiplayer;490
Single player;491
Single player;492
Multiplayer;492
Co-operative;492
Split screen;492
Single player;493
Single player;494
Multiplayer;494
Single player;495
Single player;496
Multiplayer;496
Co-operative;496
Single player;497
Co-operative;497
Single player;498
Multiplayer;498
Co-operative;498
Split screen;498
Single player;499
Single player;500
Single player;501
Single player;502
Multiplayer;502
Co-operative;502
Single player;503
Multiplayer;503
Co-operative;503
