genre;game_id
Simulator;235
Strategy;235
Simulator;237
Strategy;237
Puzzle;238
Adventure;238
Real Time Strategy (RTS);239
Strategy;239
Shooter;240
Shooter;241
Real Time Strategy (RTS);242
Strategy;242
Strategy;243
Quiz/Trivia;243
Shooter;244
Strategy;244
Real Time Strategy (RTS);245
Strategy;245
Shooter;247
Puzzle;247
Shooter;250
Adventure;250
Shooter;252
Simulator;252
Sport;252
Role-playing (RPG);253
Adventure;253
Simulator;254
Strategy;254
Role-playing (RPG);255
Strategy;255
Turn-based strategy (TBS);255
Shooter;256
Sport;256
Real Time Strategy (RTS);257
Strategy;257
Shooter;258
Simulator;258
Sport;258
Shooter;259
Simulator;259
Sport;259
Simulator;260
Strategy;260
Shooter;261
Sport;261
Shooter;262
Simulator;262
Sport;262
Shooter;263
Sport;263
Shooter;264
Simulator;264
Sport;264
Shooter;265
Simulator;265
Sport;265
Shooter;266
Simulator;266
Sport;266
Shooter;267
Simulator;267
Sport;267
Shooter;268
Simulator;268
Sport;268
Shooter;269
Simulator;269
Sport;269
Role-playing (RPG);270
Adventure;270
Shooter;271
Shooter;272
Fighting;273
Shooter;273
Platform;273
Simulator;274
Strategy;274
Shooter;275
Real Time Strategy (RTS);276
Simulator;276
Strategy;276
Shooter;277
Point-and-click;278
Puzzle;278
Adventure;278
Shooter;280
Shooter;281
Role-playing (RPG);282
Adventure;282
Simulator;285
Strategy;285
Shooter;286
Real Time Strategy (RTS);287
Role-playing (RPG);287
Simulator;287
Strategy;287
Shooter;288
Simulator;288
Strategy;288
Tactical;288
Real Time Strategy (RTS);289
Simulator;289
Strategy;289
Adventure;289
Real Time Strategy (RTS);290
Tactical;290
Simulator;292
Strategy;292
Simulator;293
Strategy;293
Turn-based strategy (TBS);293
Shooter;294
Strategy;294
Tactical;294
Adventure;294
Real Time Strategy (RTS);295
Strategy;295
Shooter;296
Adventure;296
Shooter;297
Real Time Strategy (RTS);298
Strategy;298
Real Time Strategy (RTS);299
Simulator;299
Strategy;299
Real Time Strategy (RTS);300
Simulator;300
Strategy;300
Simulator;301
Real Time Strategy (RTS);302
Strategy;302
Real Time Strategy (RTS);303
Simulator;303
Strategy;303
Role-playing (RPG);304
Adventure;304
Real Time Strategy (RTS);305
Simulator;305
Strategy;305
Shooter;306
Shooter;307
Sport;307
Real Time Strategy (RTS);308
Simulator;308
Strategy;308
Simulator;309
Strategy;309
Tactical;309
Simulator;310
Strategy;310
Turn-based strategy (TBS);310
Real Time Strategy (RTS);311
Simulator;311
Strategy;311
