game_id;company_id
1621;1
2656;1
3431;1
3632;1
3633;1
5053;1
5155;1
5530;1
6211;1
6631;1
8813;1
11235;1
19418;1
26013;1
43280;1
51953;1
113097;1
120544;1
5;2
6;2
10;2
73;2
74;2
75;2
76;2
78;2
116;2
213;2
216;2
217;2
218;2
220;2
1596;2
5867;2
7899;2
7900;2
13690;2
13784;2
13910;2
13911;2
13912;2
17462;2
17464;2
17465;2
17466;2
19135;2
20188;2
20189;2
21664;2
21697;2
22963;2
22975;2
23719;2
27911;2
36950;2
47318;2
50323;2
78460;2
91241;2
103276;2
1;3
2;3
22;3
70;3
647;3
714;3
715;3
1168;3
3352;3
9227;3
10686;3
12987;3
4223;4
5259;4
5770;4
253;5
775;5
3460;5
3461;5
15010;5
15011;5
15152;5
18153;5
308;6
504;6
522;6
694;6
1592;6
1921;6
2995;6
3023;6
5624;6
7658;6
83837;6
38;7
985;7
1216;7
1832;7
6958;7
7081;7
10173;7
18023;7
20440;7
21747;7
19839;8
62;10
63;10
65;10
66;10
137;10
139;10
148;10
149;10
150;10
151;10
154;10
155;10
156;10
157;10
159;10
162;10
163;10
164;10
175;10
180;10
181;10
183;10
188;10
194;10
196;10
207;10
475;10
1386;10
3932;10
4180;10
4181;10
5599;10
6160;10
6606;10
14386;10
15101;10
17474;10
17475;10
17476;10
18044;10
19637;10
27848;10
35596;10
39351;10
74884;10
74885;10
74895;10
74896;10
37;11
98;11
575;11
904;11
1643;11
1644;11
1645;11
2482;11
2656;11
2689;11
2973;11
3980;11
5035;11
5036;11
5037;11
6500;11
11639;11
13;12
14;12
84;12
753;12
832;12
876;12
5621;12
8829;12
21584;12
2694;13
7084;13
11643;13
13105;13
13781;13
35;14
36;14
51;14
355;14
780;14
1624;14
5525;14
9226;14
12434;14
12484;14
14455;14
19422;14
75301;14
21;15
244;15
10343;15
14543;15
34294;15
44571;15
47440;15
78451;15
272;17
273;17
544;17
926;17
927;17
1885;17
1888;17
2903;17
5979;17
6220;17
6228;17
6959;17
7549;17
9179;17
25160;17
31189;17
68335;17
111285;17
21;18
533;19
602;19
625;19
2369;19
11118;19
14568;19
14569;19
14571;19
14572;19
19531;19
20863;19
37030;19
52899;19
78210;19
103300;19
103302;19
103306;19
117748;19
21;20
20;21
22;21
316;21
538;21
720;21
721;21
923;21
10047;21
20115;21
41595;21
41598;21
51933;21
117315;21
6415;23
104248;23
112674;23
117274;23
222;24
8828;24
36288;24
3;25
41;25
42;25
5622;25
8201;25
25358;25
384;26
389;26
391;26
394;26
395;26
397;26
401;26
402;26
405;26
408;26
409;26
416;26
425;26
1181;26
1219;26
1223;26
1225;26
1343;26
1503;26
1506;26
1819;26
1820;26
1821;26
2449;26
2933;26
3988;26
3989;26
4700;26
5550;26
6172;26
7047;26
7400;26
7841;26
9326;26
9498;26
9585;26
10319;26
10385;26
11169;26
11214;26
11256;26
11316;26
11667;26
14144;26
14729;26
14840;26
14988;26
15384;26
16047;26
16284;26
16398;26
18068;26
18069;26
18070;26
19865;26
19930;26
20288;26
20655;26
21628;26
