game_id;company_id
107318;6191
114455;10002
19561;10019
120268;4780
96217;12978
55029;196
55190;18466
106987;16148
13196;7010
115653;1617
106992;16191
54842;13311
10032;5370
114287;4148
55984;3209
119156;10564
55984;15802
44242;15489
111130;14078
36198;1718
114455;8028
114287;277
26845;765
103301;1242
105049;10809
114286;555
38967;8696
19164;148
78511;1022
113114;47
103303;126
102584;108
55199;2344
