id;name;aggregated_rating;first_release_date
166;Star Wars: TIE Fighter;;757382400
169;Star Wars: X-Wing Alliance;84.0;920160000
170;Star Wars: X-Wing vs. TIE Fighter;;862358400
175;Afterlife;;851990400
177;Ballblazer Champions;;859766400
180;Full Throttle;87.0;799200000
181;Grim Fandango;;909532800
183;Indiana Jones and His Desktop Adventures;;828316800
187;Indiana Jones and the Emperor's Tomb;59.3333333333333;1046044800
188;Indiana Jones and the Infernal Machine;90.0;943315200
189;Lego Indiana Jones: The Original Adventures;69.0;1212364800
190;LEGO Star Wars II: The Original Trilogy;68.6;1157932800
194;Mortimer and the Riddles of the Medallion;;820454400
196;Outlaws;;859766400
203;Secret Weapons Over Normandy;81.75;1069113600
207;The Dig;45.0;817689600
209;Thrillville: Off the Rails;55.0;1191888000
210;Star Wars: The Clone Wars – Republic Heroes;41.6666666666667;1254787200
211;Armed and Dangerous;82.5;1070323200
212;Brütal Legend;80.3333333333333;1255392000
213;Mass Effect Galaxy;;1245628800
214;Neverwinter Nights 2;85.0;1162252800
215;Warhammer Online: Age of Reckoning;89.5;1221696000
216;Neverwinter Nights;74.0;1024358400
217;Sonic Chronicles: The Dark Brotherhood;72.5;1222300800
218;MDK2;90.0;954460800
219;MDK;;852076800
220;Shattered Steel;;844041600
221;Phantasmagoria;60.0;807235200
222;Phantasmagoria: A Puzzle of Flesh;;849312000
223;The Sims;85.0;949622400
224;The Sims 2;71.0;1095120000
230;StarCraft;;891302400
231;Half-Life;80.0;910483200
233;Half-Life 2;91.0;1100563200
234;Guild Wars;90.3333333333333;1112313600
235;RollerCoaster Tycoon 3;83.75;1098748800
237;SimCity 3000;85.0;917740800
238;Riven;;867715200
239;StarCraft II: Wings of Liberty;89.4;1280188800
240;Battlefield 1942;90.0;1031616000
241;Counter-Strike;70.0;929145600
242;Cossacks: European Wars;80.0;985910400
243;Who Wants to Be a Millionaire?;60.0;943315200
244;The Bureau: XCOM Declassified;69.2;1375747200
245;Command & Conquer: Red Alert 2;90.0;972259200
247;Half-Life 2: Episode Two;70.0;1191888000
249;Superhero League of Hoboken;;757382400
250;The Chronicles of Riddick: Escape from Butcher Bay;89.0;1086048000
252;Deer Hunter's Extended Season;;915062400
253;Stonekeep;66.0;815788800
254;RollerCoaster Tycoon;83.0;922838400
255;Arcanum: Of Steamworks and Magick Obscura;;998352000
256;Deer Hunter 3 Gold;;951782400
257;Warhammer 40,000: Dawn of War;86.25;1095638400
258;Deer Hunter 4: World-Class Record Bucks;;967766400
259;Deer Hunter 5: Tracking Trophies;;999043200
260;The Sims 3;83.1111111111111;1243900800
261;Deer Hunter 2003: Legendary Hunting;;1034726400
262;Deer Hunter 2004;;1066003200
263;Deer Hunter: Interactive Hunting Experience;;879379200
264;Deer Hunter 2005;75.0;1096329600
265;Deer Hunter II: The Hunt Continues;;909792000
266;Deer Hunter Tournament;;1223942400
267;Deer Hunter 3: The Legend Continues;;938736000
268;Deer Hunter 3D;;1242345600
269;Deer Hunter Challenge;;1291161600
270;Age of Conan: Hyborian Adventures;76.0;1211241600
271;Vietcong;70.0;1048636800
272;Unreal Tournament;100.0;943920000
273;Unreal;;895795200
274;Tropico;82.0;987811200
275;Commandos: Strike Force;68.75;1142553600
276;Supreme Commander;76.25;1171584000
277;Battlefield 2;93.0;1119312000
278;Runaway: A Road Adventure;;994377600
280;Doom 3;86.0;1091491200
281;Return to Castle Wolfenstein;68.2;1006128000
282;EverQuest;84.0;921542400
283;Theme Park;79.0;788832000
285;Railroad Tycoon II;;883612800
286;Quake II;;881625600
287;Patrician III: Rise of the Hanse;90.0;946684800
288;Operation Flashpoint: Cold War Crisis;90.0;993168000
289;Age of Empires;;876873600
290;Imperivm III: Great Battles of Rome;;1115683200
292;Hotel Giant;;1021593600
293;Sid Meier's Civilization IV;95.0;1130198400
294;Hidden & Dangerous;;933206400
295;Command & Conquer: Red Alert;;848620800
296;Crysis;84.6666666666667;1194912000
297;Counter-Strike: Condition Zero;66.3333333333333;1080000000
